instruction,input,output
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 20 : Conspiracy to commit an offence of Part one: general provisions, Title ii : general principles, categories of offences, conspiracy and attempt to commit an offence, Chapter iii : conspiracy and attempt to commit an offence Section one: conspiracy  explained?","Article 20 : Conspiracy to commit an offenceConspiracy to commit an  offence is an agreement between two (2) or more persons to engage in the commission of an offence by any one or more of them.Conspiracy to commit an offence is punishable by the same penalty as the intended offence.Any person involved in conspiracy but who reports it to administrative authorities, judicial or security organs and disclose to them the names of involved criminals and their accomplices is exempted from the penalty prescribed for conspiracy if he/she reports it  before the commission of the offence in respect of which conspiracy takes place.TENTATIVE D’INFRACTIONlieu."
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 21 : Punishment of attempt to commit an offence of Part one: general provisions, Title ii : general principles, categories of offences, conspiracy and attempt to commit an offence, Chapter iii : conspiracy and attempt to commit an offence Section 2: tentative d’infraction  explained?","Article 21 : Punishment of attempt to commit an offenceAn attempt is punishable when the intention to commit the offence has been demonstrated by one or more observable and unequivocal acts which constitute the beginning of the commission of the offence and leading to its execution, and that were because of circumstances beyond the offender’s control.An attempt to commit an offence is punishable even if the intended purpose could not be achieved because of factual circumstances unknown to the offender.An attempt to commit a felony or a misdemeanour is punishable with one half (1/2) the penalty for the felony or misdemeanour itself. For the offence  punishable by the penalty of life imprisonment, the attempt is punishable by imprisonment for a term of twenty-five (25) years.An attempt to commit a petty offence is not punishable.d’infraction"
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 22 :  Voluntary abandonment of intent to commit an offence of Part one: general provisions, Title iii: penalties in general, Chapter one : different categories of penalties Section one: categories of penalties  explained?","Article 22 :  Voluntary abandonment of intent to commit an offenceIf a person who had the intent to commit an offence voluntarily abandons the intent, he/she is not punished, unless the preparatory acts alone already constitute an offence."
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 23: Principal penalties applicable to natural persons of Part one: general provisions, Title iii: penalties in general, Chapter one : different categories of penalties Section one: categories of penalties  explained?",Article 23: Principal penalties applicable to natural personsPrincipal penalties applicable to natural persons are the following:1º imprisonment;2º fine;3º penalty of community service.
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 24: Accessory penalties  applicable  to natural persons of Part one: general provisions, Title iii: penalties in general, Chapter one : different categories of penalties Section one: categories of penalties  explained?",Article 24: Accessory penalties  applicable  to natural personsAccessory  penalties applicable  to natural persons are the following:1º special confiscation;2º a ban on residence or compulsory residence in a particular location;3º deprivation of civic rights;4º publication of the offence committed and the penalty pronounced by the court.
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 25 : Penalties applicable to  State or non -governmental   of Part one: general provisions, Title iii: penalties in general, Chapter one : different categories of penalties Section 2 : special provisions applicable to some penalties Subsection one : penalty of imprisonment explained?","Article 25 : Penalties applicable to  State or non -governmental  Penalties applicable to  the institutions and cooperatives, non-governmental following:1º a fine;2º the ban on the conduct of one or several professional or social activities for a fixed period of time;3º confiscation of the object used or intended for use in the commission of  the offence or the proceeds thereof;4º publication of the penalty pronounced.Companies, cooperatives, non-personality may also be punishable  by the following penalties:1° dissolution;2° permanent closure of establishments in which  incriminated acts have  been  committed or which have been used to commit such acts;3° permanent exclusion from public procurement contracts, either indefinitely  or for a fixed period of time provided for by relevant laws;4° the ban on  issuing a cheque, a credit card or negotiable instrument;5° placement under judicial supervision."
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 26 : Duration of the penalty of imprisonment of Part one: general provisions, Title iii: penalties in general, Chapter one : different categories of penalties Section 2 : special provisions applicable to some penalties Subsection one : penalty of imprisonment explained?",Article 26 : Duration of the penalty of imprisonmentThe penalty of imprisonment may be for a fixed term or for life. 1° dissolution;(12).
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 27: Fixed-term imprisonment of Part one: general provisions, Title iii: penalties in general, Chapter one : different categories of penalties Section 2 : special provisions applicable to some penalties Subsection one : penalty of imprisonment explained?","Article 27: Fixed-term imprisonmentFixed-term imprisonment is imposed for at least one day and at most twenty -five (25) years, unless the law provides otherwise.Fixed-term imprisonment is calculated on the basis of days, months or years of the Gregorian calendar.An imprisonment of one (1) day is equal to twenty-four (24) hours, an imprisonment of one (1) month is equal to thirty (30) days and an imprisonment of one (1) year is equal to twelve (12) months."
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 28 : Calculation of the term of fixed-term imprisonment of Part one: general provisions, Title iii: penalties in general, Chapter one : different categories of penalties Section 2 : special provisions applicable to some penalties Subsection one : penalty of imprisonment explained?","Article 28 : Calculation of the term of fixed-term imprisonmentThe term of imprisonment run s from the becomes final.The length of the period of detention by legally competent organs is deducted from the term of  imprisonment imposed by the court.In calculating the term of imprisonment, no account is taken of the period during which the convict has voluntarily avoided serving the penalty.When a person is given more than one penalty of imprisonment, the next imprisonment penalty starts to run upon the expiration of the previous one."
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 29: Life imprisonment of Part one: general provisions, Title iii: penalties in general, Chapter one : different categories of penalties Section 2 : special provisions applicable to some penalties Subsection 2: fine explained?",Article 29: Life imprisonmentThe penalty of life imprisonment implies a jail term for the rest of the convict’s life.
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 30: Amount of fine of Part one: general provisions, Title iii: penalties in general, Chapter one : different categories of penalties Section 2 : special provisions applicable to some penalties Subsection 2: fine explained?",Article 30: Amount of fineThe fine is at least one (1) Rwandan franc.
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 31: Imposition of a fine of Part one: general provisions, Title iii: penalties in general, Chapter one : different categories of penalties Section 2 : special provisions applicable to some penalties Subsection 2: fine explained?",Article 31: Imposition of a fineA fine is imposed individually on each of the convicts on the basis of the gravity of the offence.The court sets the time limit for payment of a fine. This time limit does not exceed one become final.The court may order that the fine be paid in instalments or commuted to community service.
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 32 : Fine awarded concurrently with other payments of Part one: general provisions, Title iii: penalties in general, Chapter one : different categories of penalties Section 2 : special provisions applicable to some penalties Subsection 2: fine explained?","Article 32 : Fine awarded concurrently with other paymentsWhen the convict’s property is insufficient damages, priority is given to the payment of "
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 33: Joint liability of convicts  for court fees of Part one: general provisions, Title iii: penalties in general, Chapter one : different categories of penalties Section 2 : special provisions applicable to some penalties Subsection 2: fine explained?",Article 33: Joint liability of convicts  for court feesAll persons convicted of the same offence damages and court fees.
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 34 : Restitution of embezzled, stolen, fraudulently obtained or unduly given property of Part one: general provisions, Title iii: penalties in general, Chapter one : different categories of penalties Section 2 : special provisions applicable to some penalties Subsection 3: penalty of community service explained?","Article 34 : Restitution of embezzled, stolen, fraudulently obtained or unduly given propertyIf a penalty is imposed in a criminal case, the court must order the restitution of embezzled, stolen, fraudulently obtained or unduly given property, if any."
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 35: Imposition of the penalty of community service of Part one: general provisions, Title iii: penalties in general, Chapter one : different categories of penalties Section 2 : special provisions applicable to some penalties Subsection 3: penalty of community service explained?","Article 35: Imposition of the penalty of community serviceIn case the penalty of community service is imposed as principal penalty, the court sets the time limit for serving such a penalty. Such a time limit does  not exceed six (6) months.The penalty of community service may be imposed in lieu of another principal penalty. In that case, it is imposed as follows:1º when an offence is punishable by imprisonment  for a term of more than six (6) months and not more than  five (5) years, the court may order that the convict serve half (1/2) of the term of his/her penalty in serving the penalty of community service;2º when an offence is punishable by imprisonment for a term of less than six (6) months, the court may order that the convict serve  the penalty of community service for a period not exceeding the maximum imprisonment provided by the law for such an offence.In case of the convict’s failure to properly serve the penalty of community service, he/she is forced to serve the remainder of the penalty in prison.A Presidential Order determines modalities for the execution of the penalty of community service."
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 36: Penalty of community  service  in case of the  convict’s failure to comply with a court order of Part one: general provisions, Title iii: penalties in general, Chapter one : different categories of penalties Section 2 : special provisions applicable to some penalties Subsection 4: confiscation explained?","Article 36: Penalty of community  service  in case of the  convict’s failure to comply with a court orderWhen the Court imposes a fine, court fees, any other payment into the public treasury, the benefit of the victim,  it determines, in  case  of the convict’s failure to execute the court’s convictions against him/her, the  period to serve the penalty of community  service.payment of damages for the benefit of the victim, community service imposed does not preclude the victim’s right to such A  convict is exempted from serving the penalty of community  service if  he/she  effects  payment. à payer.ya Leta."
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 37: Special confiscation of Part one: general provisions, Title iii: penalties in general, Chapter one : different categories of penalties Section 2 : special provisions applicable to some penalties Subsection 4: confiscation explained?","Article 37: Special confiscationIn case a felony or a misdemeanour is committed, confiscation of items regarded intended for use in the commission of the offence, or those regarded as the proceeds from the commission of the offence is imposed as an accessory penalty in addition to the principal penalty if such items belong to the convict. If such items do no t belong to the convict or if the offence committed is a petty offence, the confiscation is ordered only in cases specified by the law."
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article  38 : Prohibition of  the  general confiscation of Part one: general provisions, Title iii: penalties in general, Chapter one : different categories of penalties Section 2 : special provisions applicable to some penalties Subsection 4: confiscation explained?",Article  38 : Prohibition of  the  general confiscationThe general confiscation of all the convict’s current and future property is prohibited.
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 39: Administration of confiscated property of Part one: general provisions, Title iii: penalties in general, Chapter one : different categories of penalties Section 2 : special provisions applicable to some penalties Subsection 5 : ban on residence or compulsory residence in a particular location explained?",Article 39: Administration of confiscated propertyConfiscated property is put into the hands of the State.An Order of the Minister in charge of justice determines modalities for the administration of confiscated property.Sous-section 4: Confiscation
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 40: Imposition of the penalty of ban on residence or compulsory residence in a particular location of Part one: general provisions, Title iii: penalties in general, Chapter one : different categories of penalties Section 2 : special provisions applicable to some penalties Subsection 5 : ban on residence or compulsory residence in a particular location explained?","Article 40: Imposition of the penalty of ban on residence or compulsory residence in a particular locationUnless the law provides otherwise, the court may order ban on residence or compulsory residence in a particular location in the following cases:1º if a person is sentenced to  imprisonment for a term of more than five (5) years;2º if a person who, having been  sentenced to imprisonment for a term equal to or more than six (6) months, is sentenced again to imprisonment for a term equal to or more than six (6) months within five (5) years of  the execution of such a penalty or when its enforcement has become time-barred.The duration of  ban on residence or location may not exceed a period of one (1) year.prescription."
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 41: Calculation of the term of the penalty of ban on residence or location and modalities for execution thereof of Part one: general provisions, Title iii: penalties in general, Chapter one : different categories of penalties Section 2 : special provisions applicable to some penalties Subsection 6: deprivation of civic rights explained?","Article 41: Calculation of the term of the penalty of ban on residence or location and modalities for execution thereofThe penalty of ban on residence or compulsory residence in a particular location commences on the day of completion of the penalty of imprisonment by the convict.If the convict is released on parole, the penalty of ban on residence or compulsory residence in a particular location  commences on the day of release.If the convict released on parole is re -incarcerated, the period of ban on residence or compulsory residence in a particular location is deducted from the penalty imposed on him/her by the court.An Order of the Minister in charge of justice determine s modalities for the execution of the penalty of ban on residence location."
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 42: Deprivation of civic rights of Part one: general provisions, Title iii: penalties in general, Chapter one : different categories of penalties Section 2 : special provisions applicable to some penalties Subsection 6: deprivation of civic rights explained?","Article 42: Deprivation of civic rightsThe deprivation of civic rights consist s of  the following:1º removal or prohibition from any public service;2º deprivation of all or part of political rights;3º deprivation of the right to wear  decorations of honour;4º prohibition to act as an expert witness or a witness to deeds and to testify in court, except in case of   providing  information;5º loss of legal capacity to act as  a family council member, a guardian, a trustee, a guardian replacement, a guardian of intellectually disabled persons except in case of his/ her own children;6º deprivation of the right to possess arms;suit:public;or a credit card;8º debarment from participating in public procurement;9º deprivation of the right to leave the national territory;10º deprivation of the right to perform such functions as may be specified by the court."
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 43: Imposition of the penalty of deprivation of civic rights of Part one: general provisions, Title iii: penalties in general, Chapter one : different categories of penalties Section 2 : special provisions applicable to some penalties Subsection 6: deprivation of civic rights explained?","Article 43: Imposition of the penalty of deprivation of civic rightsimprisonment, no person may  be deprived of all civic rights.With the exception of convicts sentenced to life imprisonment, deprivation of civic rights cannot exceed ten (10) years.The deprivation of civic rights may be suspended, lifted or reduced in the same manner as in the case of the penalty of imprisonment.national ;(10) ans.The deprivation of civic rights may be lifted if the convict has performed an exceptional act of good citizenship or highly committed himself/herself to promoting social development."
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 44: Deprivation of civic rights for a convict sentenced to  the penalty of life  imprisonment of Part one: general provisions, Title iii: penalties in general, Chapter one : different categories of penalties Section 2 : special provisions applicable to some penalties Subsection 6: deprivation of civic rights explained?",Article 44: Deprivation of civic rights for a convict sentenced to  the penalty of life  imprisonmentLife imprisonment automatically entails the permanent deprivation of all civic rights.
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 45 : Circumstances in which the penalty of deprivation of civic rights may be imposed of Part one: general provisions, Title iii: penalties in general, Chapter one : different categories of penalties Section 2 : special provisions applicable to some penalties Subsection 7 : publication of imposed  penalty explained?",Article 45 : Circumstances in which the penalty of deprivation of civic rights may be imposedThe deprivation of civic rights provided for in Article 42 of this Law may be imposed as an accessory penalty in addition to the principal penalty of imprisonment that is equal to or more than five (5) years.
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 46 : Mode of publication of the penalty of Part one: general provisions, Title iii: penalties in general, Chapter ii : imposition  of penalties Section 2 : special provisions applicable to some penalties Subsection 7 : publication of imposed  penalty explained?",Article 46 : Mode of publication of the penaltyThe court may order publication of a penalty imposed as an accessory penalty in addition to the principal penalty of not less than five (5) years of imprisonment.The court determine s the mode of publication of the imposed penalty.imposition of  penalties
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 47 : Compliance with the law  of Part one: general provisions, Title iii: penalties in general, Chapter ii : imposition  of penalties Section 2 : special provisions applicable to some penalties Subsection 7 : publication of imposed  penalty explained?",Article 47 : Compliance with the law The court decides a case in accordance with the provisions of law and must state the basis of its decision.
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 48: Penalty reduction of Part one: general provisions, Title iii: penalties in general, Chapter ii : imposition  of penalties Section 2 : special provisions applicable to some penalties Subsection 7 : publication of imposed  penalty explained?",Article 48: Penalty reductionNo penalty may be reduced except in cases and under circumstances provided by law.
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 49: Factors taken into account by a judge in determining a penalty of Part one: general provisions, Title iii: penalties in general, Chapter ii : imposition  of penalties Section 2: aggravating circumstances  explained?","Article 49: Factors taken into account by a judge in determining a penaltyA judge determines a penalty according to the gravity, consequences of, and the motive for committing the offence,    the offender’s prior record and personal situation and the circumstances surrounding the commission of the offence. In the event of concurrence of grounds for  following while imposing a penalty:1º aggravating circumstances;2º mitigating circumstances."
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 51 : Effects of aggravating circumstances of Part one: general provisions, Title iii: penalties in general, Chapter ii : imposition  of penalties Section 3: recidivism  explained?",Article 51 : Effects of aggravating circumstancesAggravating circumstances increase the gravity of penalty as determined by law.
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 52 : Recidivism and its punishment of Part one: general provisions, Title iii: penalties in general, Chapter ii : imposition  of penalties Section 3: recidivism  explained?","Article 52 : Recidivism and its punishmentFor felonies, recidivism occurs at any time For misdemeanours, recidivism occur s re-offends within five (5) years of completion of the sentence or after its prescription.Every recidivist receive s the maximum penalty provided by law and such penalty may be doubled."
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 53: Circumstances when there is no recidivism of Part one: general provisions, Title iii: penalties in general, Chapter ii : imposition  of penalties Section 4 : mitigating circumstances prescribed by law Subsection one: minority age explained?",Article 53: Circumstances when there is no recidivismThere is no recidivism if:1º the previous offence is a petty offence;2º the penalty imposed on the previous offence was removed by amnesty or rehabilitation;3º the person who was sentenced for a military offence re -commits a  felony or a misdemeanour except if the previous penalty imposed for an offence that may be punished by ordinary penal laws.contravention ;  
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 54: Punishment of a person aged between fourteen (14) and eighteen (18) years of Part one: general provisions, Title iii: penalties in general, Chapter ii : imposition  of penalties Section 4 : mitigating circumstances prescribed by law Subsection 2: provocation explained?","Article 54: Punishment of a person aged between fourteen (14) and eighteen (18) yearsIf the convict was at least fourteen (14) years of age but less than eighteen (18) years of age at the time of the commission of the  offence, the following penalties apply:1º imprisonment for a term of not less than ten (10) years and not more than  fifteen (15) years if he/she would be subjected to a life imprisonment;2º a penalty which cannot exceed half (1/2) of the penalty he/she would receive if he/she would be subjected to a fix ed-term imprisonment or a fine.Penalties provided under  Paragraph One of this Article also apply to an accomplice if the accomplice was  at least fourteen (14) years of age but less than eighteen (18) years of age at the time of the commission of the offence."
"Explain the law article, as mentioned in the Rwandan Official gazette no. special of 27/09/2018","How is the Article 55 : Penalties in case of provocation of Part one: general provisions, Title iii: penalties in general, Chapter ii : imposition  of penalties Section 4 : mitigating circumstances prescribed by law Subsection 2: provocation explained?",Article 55 : Penalties in case of provocationPenalties are reduced for offences committed under provocation.
